AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 1011, Positive, I think I like 1011, home, 0)
ThoughtPositive(989, 1025, Positive, I think I like 1025, home, 0)
ThoughtPositive(991, 995, Positive, I think I like 995, home, 0)
ThoughtPositive(993, 1001, Positive, I think I like 1001, home, 0)
ThoughtPositive(995, 987, Positive, I think I like 987, home, 0)
ThoughtPositive(997, 1019, Positive, I think I like 1019, home, 0)
ThoughtPositive(999, 1015, Positive, I think I like 1015, home, 0)
ThoughtPositive(1001, 1021, Positive, I think I like 1021, home, 0)
ThoughtPositive(1003, 1015, Positive, I think I like 1015, home, 0)
ThoughtPositive(1005, 1001, Positive, I think I like 1001, home, 0)
ThoughtPositive(1007, 999, Positive, I think I like 999, home, 0)
ThoughtPositive(1009, 1017, Positive, I think I like 1017, home, 0)
ThoughtPositive(1011, 1009, Positive, I think I like 1009, home, 0)
ThoughtPositive(1013, 1009, Positive, I think I like 1009, home, 0)
ThoughtPositive(1015, 997, Positive, I think I like 997, home, 0)
ThoughtPositive(1017, 1015, Positive, I think I like 1015, home, 0)
ThoughtPositive(1019, 1013, Positive, I think I like 1013, home, 0)
ThoughtPositive(1021, 991, Positive, I think I like 991, home, 0)
ThoughtPositive(1023, 1005, Positive, I think I like 1005, home, 0)
ThoughtPositive(1025, 993, Positive, I think I like 993, home, 0)
SpeechGreet(999, 989, Positive, Nice to meet you!, home, 4)
SpeechPositive(999, 989, Positive, Having a great time!, home, 4)
SpeechGreet(995, 999, Positive, Nice to meet you!, home, 9)
SpeechPositive(995, 999, Positive, Having a great time!, home, 9)
SpeechGreet(1011, 1021, Positive, Nice to meet you!, home, 12)
SpeechNegative(1011, 1021, Negative, Not so fun... , home, 12)
SpeechPositive(989, 999, Positive, Having a great time!, home, 14)
SpeechGreet(1013, 1017, Positive, Nice to meet you!, home, 21)
SpeechPositive(1013, 1017, Positive, Having a great time!, home, 21)
SpeechGreet(1005, 1023, Positive, Nice to meet you!, home, 22)
SpeechPositive(1005, 1023, Positive, Having a great time!, home, 22)
SpeechGreet(1021, 1017, Positive, Nice to meet you!, home, 22)
SpeechNegative(1021, 1017, Negative, Not so fun... , home, 22)
SpeechGreet(991, 999, Positive, Nice to meet you!, home, 23)
SpeechPositive(991, 999, Positive, Having a great time!, home, 23)
SpeechNegative(999, 995, Negative, Not so fun... , home, 26)
SpeechPositive(1017, 1013, Positive, Having a great time!, home, 26)
SpeechGreet(991, 995, Positive, Nice to meet you!, home, 31)
SpeechPositive(991, 995, Positive, Having a great time!, home, 31)
SpeechPositive(995, 991, Positive, Having a great time!, home, 31)
SpeechGreet(1001, 1005, Positive, Nice to meet you!, home, 31)
SpeechPositive(1001, 1005, Positive, Having a great time!, home, 31)
SpeechGreet(1015, 1003, Positive, Nice to meet you!, home, 33)
SpeechPositive(1015, 1003, Positive, Having a great time!, home, 33)
SpeechGreet(1015, 1005, Positive, Nice to meet you!, home, 33)
SpeechPositive(1015, 1005, Positive, Having a great time!, home, 33)
SpeechGreet(1021, 1013, Positive, Nice to meet you!, home, 33)
SpeechPositive(1021, 1013, Positive, Having a great time!, home, 33)
SpeechGreet(1005, 1003, Positive, Nice to meet you!, home, 37)
SpeechPositive(1005, 1003, Positive, Having a great time!, home, 37)
SpeechGreet(1001, 1015, Positive, Nice to meet you!, home, 38)
SpeechNegative(1001, 1015, Negative, Not so fun... , home, 38)
